CUST_NO_y,VTG,AGETIER
6925842.0,3 th,31-40 th
6957360.2,3 th,21-30 th
6942300.0,3 th,21-30 th
6977577.0,3 th,21-30 th
6963964.2,3 th,41-50 th
6959934.8,3 th,41-50 th
6963082.2,3 th,21-30 th
7000693.6,3 th,31-40 th
7000699.8,3 th,41-50 th
7013055.8,2 th,21-30 th
7064748.4,2 th,31-40 th
7056510.0,2 th,21-30 th
7091650.0,2 th,21-30 th
7074436.4,2 th,21-30 th
7070806.2,2 th,21-30 th
7076823.2,2 th,21-30 th
7094628.0,2 th,21-30 th
7140442.4,2 th,21-30 th
7122678.4,2 th,31-40 th
7160830.0,2 th,21-30 th
7145831.0,2 th,21-30 th
7221846.8,2 th,21-30 th
7237230.2,2 th,21-30 th
7240081.6,2 th,21-30 th
7225928.4,2 th,21-30 th
7261719.8,2 th,41-50 th
7258846.6,2 th,21-30 th
7296104.6,2 th,41-50 th
7286940.4,2 th,21-30 th
7284722.2,2 th,21-30 th
7336921.6,2 th,21-30 th
7350993.6,2 th,31-40 th
7362032.2,2 th,21-30 th
7398352.6,2 th,21-30 th
7468968.6,1 th,21-30 th
7492191.2,1 th,21-30 th
7497705.8,1 th,21-30 th
7521221.4,1 th,21-30 th
7513054.8,1 th,21-30 th
7504896.2,1 th,31-40 th
7509163.6,1 th,31-40 th
7537633.6,1 th,31-40 th
7528401.6,1 th,41-50 th
7560916.6,1 th,21-30 th
7561167.2,1 th,21-30 th
7588783.8,1 th,41-50 th
7595900.0,1 th,21-30 th
7579545.2,1 th,21-30 th
7633255.0,1 th,21-30 th
7633689.6,1 th,21-30 th
7628741.2,1 th,21-30 th
7656557.8,1 th,21-30 th
7645614.8,1 th,31-40 th
7685394.6,1 th,21-30 th
7684126.2,1 th,41-50 th
7686530.8,1 th,31-40 th
7737969.6,1 th,21-30 th
7719182.0,1 th,21-30 th
7753979.4,1 th,51-65 th
7774514.2,1 th,31-40 th
7810745.4,1 th,21-30 th
7832408.8,1 th,41-50 th
7817607.2,1 th,21-30 th
7881428.4,1 th,21-30 th
7864225.0,1 th,21-30 th
2885321.8,16-20 th,51-65 th
2733806.4,16-20 th,41-50 th
2623214.2,16-20 th,41-50 th
2661488.6,16-20 th,51-65 th
2534838.2,16-20 th,31-40 th
2573748.6,16-20 th,21-30 th
2402387.0,16-20 th,51-65 th
2357601.8,16-20 th,41-50 th
2199849.6,16-20 th,41-50 th
2055669.0,16-20 th,51-65 th
1212026.0,> 20 th,51-65 th
1249597.0,> 20 th,51-65 th
1174855.8,> 20 th,31-40 th
904243.2,> 20 th,51-65 th
744071.4,> 20 th,51-65 th
413814.6,> 20 th,31-40 th
293360.2,> 20 th,41-50 th
189782.2,> 20 th,41-50 th
2775046.2,16-20 th,41-50 th
2418897.0,16-20 th,41-50 th
2072094.6,16-20 th,31-40 th
2063433.0,16-20 th,31-40 th
1914811.0,16-20 th,31-40 th
1905318.4,16-20 th,31-40 th
1839907.6,16-20 th,41-50 th
1611254.8,16-20 th,31-40 th
1607394.2,16-20 th,41-50 th
1460091.4,16-20 th,21-30 th
1317054.8,> 20 th,51-65 th
1099147.2,> 20 th,31-40 th
806660.0,> 20 th,41-50 th
629387.4,> 20 th,41-50 th
376988.6,> 20 th,41-50 th
3143395.0,16-20 th,41-50 th
3158032.0,16-20 th,51-65 th
3198820.2,16-20 th,31-40 th
3225722.2,16-20 th,41-50 th
3311757.0,11-15 th,41-50 th
3344894.4,11-15 th,41-50 th
3360574.6,11-15 th,41-50 th
3365013.0,11-15 th,41-50 th
